title,duration,genre,imdb_rating,metascore_rating,votes
The Witcher,59 min,"Action, Adventure, Fantasy",9.0,,"14,370"
Jay and Silent Bob Reboot,105 min,Comedy,5.8,46,"14,276"
Saaho,170 min,"Action, Thriller",5.2,,"14,137"
Jexi,84 min,Comedy,6.1,39,"14,111"
The Witcher,62 min,"Action, Adventure, Fantasy",8.6,,"14,044"
The Mandalorian,43 min,"Action, Adventure, Sci-Fi",8.4,,"14,001"
Rise of Empires: Ottoman,44 min,"Documentary, Drama, History",8.0,,"13,971"
Queen & Slim,132 min,"Crime, Drama, Romance",7.0,74,"13,969"
American Factory,110 min,Documentary,7.4,86,"13,861"
Quicksand,45 min,Drama,7.5,,"13,843"
Haunt,92 min,"Horror, Thriller",6.3,69,"13,817"
Stranger Things,52 min,"Drama, Fantasy, Horror",9.0,,"13,765"
"Love, Death & Robots",17 min,"Animation, Short, Comedy",8.3,,"13,670"
The Grudge,94 min,"Horror, Mystery",4.2,41,"13,629"
Student of the Year 2,146 min,"Drama, Romance, Sport",2.3,,"13,529"
The Mandalorian,48 min,"Action, Adventure, Sci-Fi",9.4,,"13,483"
The Mandalorian,35 min,"Action, Adventure, Sci-Fi",7.6,,"13,461"
Harriet,125 min,"Action, Biography, Drama",6.4,66,"13,410"
Formula 1: Drive to Survive,40 min,"Documentary, Sport",8.6,,"13,317"
The Kid Who Would Be King,120 min,"Action, Adventure, Family",6.0,66,"13,296"
Stranger Things,50 min,"Drama, Fantasy, Horror",8.0,,"13,264"
All the Bright Places,107 min,"Drama, Romance",6.5,61,"13,262"
The Order,60 min,"Drama, Fantasy, Horror",6.9,,"13,123"
The Mandalorian,41 min,"Action, Adventure, Sci-Fi",9.1,,"13,102"
The Hole in the Ground,90 min,"Drama, Horror, Mystery",5.7,63,"13,094"
Wounds,95 min,"Drama, Horror, Mystery",4.0,51,"13,059"
The Witcher,59 min,"Action, Adventure, Fantasy",8.5,,"13,045"
The Gift,40 min,"Drama, Fantasy, Mystery",7.6,,"12,923"
Falling Inn Love,98 min,"Comedy, Romance",5.6,,"12,918"
The I-Land,40 min,"Adventure, Drama, Mystery",4.5,,"12,899"
Emma.,124 min,"Comedy, Drama",6.8,71,"12,876"
The Witcher,59 min,"Action, Adventure, Fantasy",8.3,,"12,865"
Panchayat,35 min,"Comedy, Drama",8.9,,"12,864"
Stranger Things,55 min,"Drama, Fantasy, Horror",8.8,,"12,854"
Modern Love,32 min,"Comedy, Romance",8.0,,"12,845"
Stranger Things,49 min,"Drama, Fantasy, Horror",8.4,,"12,814"
"Love, Death & Robots",17 min,"Animation, Short, Comedy",8.6,,"12,764"
Daybreak,60 min,"Action, Adventure, Comedy",6.7,,"12,727"
Catch-22,45 min,"Action, Adventure, Comedy",7.8,,"12,676"
The Witcher,47 min,"Action, Adventure, Fantasy",8.6,,"12,654"
Kesari,150 min,"Action, Drama, History",7.4,,"12,648"
"Love, Death & Robots",12 min,"Animation, Short, Comedy",8.0,,"12,646"
